country,code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BARBADOS,BRB,2012131457.26644,2020583702.08323,1957000000.0,2063342117.03873,2151344901.30761,2216974096.35559,2363645403.47039,2498384129.66738,2817083478.34734,2951822204.54432,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,5672900000.0,5663100000.0,5761450000.0,5667200000.0,5620600000.0,5698150000.0,5674600000.0,5683150000.0,6001950000.0,6161850000.0,5407050000.0,5947550000.0,6884900000.0,7223250000.0,7498050000.0
BRUNEI DARUSSALAM,BRN,6039881086.68157,6284497293.85546,6327966435.17026,6203339912.15448,6467782517.72242,7700144069.1419,7663377306.04996,7793034376.20807,5550846019.54348,6309070377.5966,6570999087.56742,6096155767.38145,6333082875.56937,7167725261.92713,8619178773.51458,10547202620.5286,12644616418.691,13432029484.4012,15926456515.0049,11912904509.8582,13707121038.4383,18524791062.657,19048443340.7732,18094148098.6536,17097797386.0336,12930296870.1247,11400266044.6651,12128168045.1245,13566908391.0895,13469235364.7032,12005799653.9835,14006496617.4458,16681536466.7183,15095084656.1634,15340808592.48
BHUTAN,BTN,287765007.112863,240294286.015925,240233531.160464,225973692.8371,258954708.048533,290490983.815778,303408345.620078,352229076.707627,363458380.903342,399311199.50776,460733418.399276,496110225.710307,559345263.708309,651935430.314445,735348490.428435,860391000.221655,942879878.538879,1255767964.00491,1317517834.59916,1331343797.77308,1708880730.20989,1977728658.68259,1973387227.96519,1943696951.65411,2089079570.58285,2187815803.36833,2357504760.78592,2591358009.20276,2583335721.85904,2735683570.46155,2457604333.90927,2768802960.11204,2898227743.75576,3012896789.24928,0.0
BOTSWANA,BWA,3790636324.44775,3942876703.45184,4146464586.61674,4160129174.70569,4259259604.15623,4730599121.92704,4847757217.75815,5020265626.66489,4790481509.17679,5484263346.88105,5788329609.15755,5489608299.66445,5438863982.88692,7511582173.37724,8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,10730829116.4105,10118459242.3183,12637273429.1339,15110643612.1729,13907464500.1489,14271738933.2042,15470088500.7414,13530748844.505,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960251607.8135,18750182236.2211,20321150599.1523,19411266967.1044,19402063512.9066
CENTRAL AFRICAN REPUBLIC,CAF,1440711459.16967,1377374986.58709,1411917553.12436,1278781261.55928,851174356.781737,1115389673.69197,1007791127.09913,937741513.015352,967338389.650578,999477510.686632,916777282.691659,932648604.751954,996068144.884889,1142315522.53864,1272360517.32373,1337894378.73743,1461859762.33459,1699811294.94935,1993407888.49838,2067381665.25454,2142591540.40068,2437982705.12093,2510126512.22831,1691544110.18543,1894813389.40325,1695825714.19282,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.94725,2751494281.06887
CANADA,CAN,596075591360.987,612527712315.615,594387358318.855,579053561739.4,579944346807.264,605961090061.207,630607994132.747,654986999855.554,634000000000.0,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2022378748423.23,2190411080134.32,2173339670064.33,2243636826633.76
SWITZERLAND,CHE,265763573999.424,268901693863.319,279921425828.474,272237527070.926,301375055202.164,352835806342.495,340103959546.926,294788198856.198,303459014346.806,297873643323.126,279216033870.204,286582672434.226,309301422430.386,362075086507.76,403912891033.374,418284865884.998,441634672196.523,490740715594.802,567267767519.158,554212916092.271,598851028906.58,715888126682.396,686420221557.99,706234937370.968,726537808338.0,694118186379.628,687895460902.713,695200833086.499,725568717468.001,721369112726.724,741999406005.627,815309330986.719,828508926958.393,894424821645.205,936564198048.516
CHILE,CHL,33428580448.2715,38232330917.2011,46538895685.8088,49934943320.8828,57438273591.0521,73820425701.6603,78584098983.6374,85741415285.165,81990010704.0602,75578685735.5219,78339750721.364,71574739561.4329,70264045939.2773,76492579644.0605,99075985773.6682,122294145163.192,153843518170.864,172491076033.863,179894594475.405,171777900623.892,217051209238.534,251382573893.87,267024782486.855,277395018842.417,259560978224.359,242450355830.884,249344863928.438,276154259981.097,295857562991.709,278285058719.466,254042159309.311,315325547162.072,301226575540.242,335518054097.637,330267137371.592
CHINA,CHN,361560229445.507,384510452961.672,428502354788.069,446557291212.148,566929539493.172,738190896227.55,868523936530.083,967753570434.667,1037134141760.35,1103843203575.64,1223754919971.05,1355036590251.52,1489821682050.54,1683903309843.85,1984196551300.44,2317551298052.05,2791498472804.33,3604055822571.63,4667346414521.95,5189577094997.58,6192564874453.29,7671757207851.29,8673664713189.24,9743124247267.24,10674533168257.4,11280814787468.9,11456024084962.0,12537559062282.9,14147765772963.8,14560167101283.4,14996414166715.1,18201698719564.0,18316765021690.2,18270356654533.2,18743803170827.2
COTE D'IVOIRE,CIV,10795850582.779,10492628580.7484,11152971273.9383,11045760288.1206,8313557510.14757,11000146266.5135,18071152830.6101,18047558037.7036,19619654755.679,18870992455.568,16577533891.8785,16810537043.8407,18054383320.8474,21251754340.4305,23510575681.3686,24036918703.1747,25281413263.3712,28760090953.3081,34078240293.2559,33886813250.2036,34936307980.063,36693710801.3976,36302302877.2977,42760235484.6093,48843005613.7091,45815005169.2651,48407761036.8238,52512343996.69,58522477786.6889,60382894697.3557,63027852805.4204,72794636653.7793,70922824813.9102,80780312569.1646,87113179149.284
CAMEROON,CMR,12314482627.8454,11840192296.3893,12071775335.0433,16181814712.5295,8902446252.18372,10864772470.9043,11093538846.4483,10789458432.6416,11298144990.4104,11565826464.8921,10566579294.9831,10953485349.1135,12417251350.4882,15970315034.9903,18826214135.6419,19509852206.9341,20910512974.933,23928250433.0378,27715142032.913,27932970317.129,27507501821.0296,30630910495.217,30155062329.2821,33728621180.3231,36386544706.0806,32210233020.4569,33814337044.3765,36098547033.1655,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,48814501547.4313,53296694320.2057
